date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:39	106/106	---MCZ	200	added ('OK')	text/plain	date:Sun,%2009%20Nov%202025%2023:32:30%20GMT	https://www.theswaddle.com/robots.txt		(from )
21:49:40	279228/279228	---MCZ	200	added ('OK')	text/html	etag:W/%22kz29vqdmfl5z0a%22	https://www.theswaddle.com/	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/index.html	(from )
21:49:40	6521/6521	---M--	200	added ('OK')	image/png	etag:%2205355369a6999d984f9dda0880c8c8f4%22	https://www.theswaddle.com/apple-touch-icon.png	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/apple-touch-icon.png	(from https://www.theswaddle.com/)
21:49:41	912/912	---M--	200	added ('OK')	image/png	etag:%225be7baeb88f6df25b3a0798658fafe26%22	https://www.theswaddle.com/favicon-32x32.png	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/favicon-32x32.png	(from https://www.theswaddle.com/)
21:49:42	443/443	---M--	200	added ('OK')	image/png	etag:%226346dbfae95eaeee76337fbef76cf3b2%22	https://www.theswaddle.com/favicon-16x16.png	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/favicon-16x16.png	(from https://www.theswaddle.com/)
21:49:43	263/263	---M--	200	added ('OK')	application/manifest+json	etag:%22053100cb84a50d2ae7f5492f7dd7f25e%22	https://www.theswaddle.com/site.webmanifest	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/site.webmanifest	(from https://www.theswaddle.com/)
21:49:45	110272/110272	---M--	200	added ('OK')	font/woff2	etag:%226e6c1d2cc1336e2a2555f0fceb231d43%22	https://www.theswaddle.com/_next/static/media/69e352460cfcef37-s.p.woff2	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/media/69e352460cfcef37-s.p.woff2	(from https://www.theswaddle.com/)
21:49:46	116000/116000	---M--	200	added ('OK')	font/woff2	etag:%221f6044245628e651176cfcd0b604cf82%22	https://www.theswaddle.com/_next/static/media/a47ab025de1ddd86-s.p.woff2	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/media/a47ab025de1ddd86-s.p.woff2	(from https://www.theswaddle.com/)
21:49:47	116216/116216	---M--	200	added ('OK')	font/woff2	etag:%224dc06f9af6eee9d8187efb73a5865594%22	https://www.theswaddle.com/_next/static/media/7f05c632042dc15e-s.p.woff2	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/media/7f05c632042dc15e-s.p.woff2	(from https://www.theswaddle.com/)
21:49:48	108748/108748	---M--	200	added ('OK')	font/woff2	etag:%22e53990e347fe5da65fd47e9fcfbc5fd0%22	https://www.theswaddle.com/_next/static/media/0fa19a1f6f646d88-s.p.woff2	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/media/0fa19a1f6f646d88-s.p.woff2	(from https://www.theswaddle.com/)
21:49:48	22244/22244	---M--	200	added ('OK')	font/woff2	etag:%220434b52073157868d0b110dacd05e03f%22	https://www.theswaddle.com/_next/static/media/54d77394cd44c2bf-s.p.woff2	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/media/54d77394cd44c2bf-s.p.woff2	(from https://www.theswaddle.com/)
21:49:50	50344/50344	---MCZ	200	added ('OK')	text/css	etag:W/%22d53b5550d4ce12d48ba21e850d9b8ca4%22	https://www.theswaddle.com/_next/static/css/d3e531fa608115f0.css	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/css/d3e531fa608115f0.css	(from https://www.theswaddle.com/)
21:49:51	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e928ee341b362fcb7753f99bd7fdc091%22	https://www.theswaddle.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.theswaddle.com/)
21:49:52	4235/4235	---MCZ	200	added ('OK')	application/javascript	etag:W/%22528cc20804ac80b8485f6fc7a787de58%22	https://www.theswaddle.com/_next/static/chunks/webpack-7dcb958b801e16bc.js	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/chunks/webpack-7dcb958b801e16bc.js	(from https://www.theswaddle.com/)
21:49:53	141052/141052	---MCZ	200	added ('OK')	application/javascript	etag:W/%226075bc2fccfe541d284fc5ce8b5b588d%22	https://www.theswaddle.com/_next/static/chunks/framework-2c79e2a64abdb08b.js	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/chunks/framework-2c79e2a64abdb08b.js	(from https://www.theswaddle.com/)
21:49:54	110929/110929	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c72828b97e09cde56916880ad0093c0%22	https://www.theswaddle.com/_next/static/chunks/main-02a20abbe867f7c3.js	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/chunks/main-02a20abbe867f7c3.js	(from https://www.theswaddle.com/)
21:49:55	295593/295593	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258418c70ea128d6dc2424bd4318aca8d%22	https://www.theswaddle.com/_next/static/chunks/pages/_app-a83fe05dce83e2f3.js	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/chunks/pages/_app-a83fe05dce83e2f3.js	(from https://www.theswaddle.com/)
21:49:56	51205/51205	---MCZ	200	added ('OK')	application/javascript	etag:W/%2247d029c47018ec03e7568bf993349916%22	https://www.theswaddle.com/_next/static/chunks/94726e6d-9c6c54111a6b089f.js	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/chunks/94726e6d-9c6c54111a6b089f.js	(from https://www.theswaddle.com/)
21:49:57	198835/198835	---MCZ	200	added ('OK')	application/javascript	etag:W/%2294d92836f5c3ca2597e86ed62f877749%22	https://www.theswaddle.com/_next/static/chunks/151-482bd7cac4e8660c.js	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/chunks/151-482bd7cac4e8660c.js	(from https://www.theswaddle.com/)
21:49:58	12652/12652	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b20a0a5f0fff3f8e15caf48ee0195c04%22	https://www.theswaddle.com/_next/static/chunks/970-7e76b5f3fce6a13a.js	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/chunks/970-7e76b5f3fce6a13a.js	(from https://www.theswaddle.com/)
21:49:59	192794/192794	---MCZ	200	added ('OK')	application/javascript	etag:W/%225117552247f47afee27eea2496ba25ac%22	https://www.theswaddle.com/_next/static/chunks/861-16de9fab2e3dfd79.js	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/chunks/861-16de9fab2e3dfd79.js	(from https://www.theswaddle.com/)
21:49:59	461/461	---M--	200	added ('OK')	application/javascript	etag:%22fd6a43325babeea8a62ecad3cde50f7b%22	https://www.theswaddle.com/_next/static/chunks/pages/%5B%5B...slug%5D%5D-cb32f951a0f48496.js	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/chunks/pages/[[...slug]]-cb32f951a0f48496.js	(from https://www.theswaddle.com/)
21:50:00	1042/1042	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226b3f7a6bcc93f8f3485323a8d6545a7%22	https://www.theswaddle.com/_next/static/mf-duHpqNqXCXkkNNUd1C/_buildManifest.js	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/mf-duHpqNqXCXkkNNUd1C/_buildManifest.js	(from https://www.theswaddle.com/)
21:50:01	123/123	---M--	200	added ('OK')	application/javascript	etag:%22f16d0ebfce88e4c6c42bc5cefb2510d1%22	https://www.theswaddle.com/_next/static/mf-duHpqNqXCXkkNNUd1C/_ssgManifest.js	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/_next/static/mf-duHpqNqXCXkkNNUd1C/_ssgManifest.js	(from https://www.theswaddle.com/)
21:50:03	104170/104170	---MCZ	200	added ('OK')	text/html	etag:W/%22phvnc2lfm727z8%22	https://www.theswaddle.com/category/power	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/category/power.html	(from https://www.theswaddle.com/)
21:50:04	101601/101601	---MCZ	200	added ('OK')	text/html	etag:W/%22x6y03ibvvn25zh%22	https://www.theswaddle.com/category/bodies	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/category/bodies.html	(from https://www.theswaddle.com/)
21:50:05	103975/103975	---MCZ	200	added ('OK')	text/html	etag:W/%22mjspzuhhjc27tz%22	https://www.theswaddle.com/category/future	/Users/atharvanayak/websites/%20Swaddle/www.theswaddle.com/category/future.html	(from https://www.theswaddle.com/)
